class_label,document
negative,"april gold down 20 cents to settle at $1,116.10/oz"
negative,gold suffers third straight daily decline
positive,Gold futures edge up after two-session decline
none,dent research : is gold's day in the sun coming soon?
negative,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal"
positive,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz"
negative,"gold falls by rs 25 on sluggish demand, global cues"
positive,"Gold futures fall for the session, but gain for the week"
neutral,"Gold struggles; silver slides, base metals falter"
positive,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz."
positive,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce"
negative,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600"
positive,"gold loses 1.3%, but logs monthly gain of 6.3%"
positive,gold recovery? here's one way to play it
positive,"gold prices rebound rs 350 on global cues, weak rupee"
none,"can investment in gold, sensex & ppfs give the same returns?"
positive,gold rush spooks economy as trade deficit surges to $17.8 bn
negative,"Gold futures down at Rs 30,244 "
positive,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018"
negative,gold prices slip lower as dollar remains supported
neutral,gold to trade in 28670-29160 range: achiievers equities
neutral,"Gold holds firm near $1,200 on dovish Fed"
positive,Gold prices finish at a more than one-week high
none,india : is gold a good investment in a volatile market?
negative,gold futures down over $20/oz ahead of settlement
positive,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data"
positive,april gold up $1.40 to end the day at $554.40/oz in ny
negative,"Gold, Silver may trade lower today: Angel Commodities"
positive,"KAZ Minerals lifts copper, gold guidance"
neutral,Gold little-changed after data
positive,germany : why gold market in germany is thriving
positive,"august gold ends up $1.60, or 0.2%, at $936.20"
positive,gold futures at highest since early december
negative,gold futures close narrowly lower
positive,Gold edges up ahead of G20 meeting; set to post second weekly gain
negative,feb gold falls 10c to $452.20/oz in morning ny trade
neutral,gold little changed; copper sinks
positive,gold swings between gains and drops on stronger dollar
none,charts : gold gld etf update - breakdown ?
negative,"feb. gold down $1.20 to close at $1,596.70/oz"
negative,philly gold and silver index falls 0.5% to end at 93.53
positive,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%"
neutral,Gold Prices Hold onto Gains Ahead of FOMC Statement
positive,"December gold trades 0.8% higher at $1,289/oz."
negative,gold bulls push for the exits on strong dollar and lack of fear
positive,"gold ends 0.5% higher, at $1,159.60 an ounce"
positive,"gold futures soar above $1,200, amid escalating conflict in yemen"
positive,gold settles at its highest level in a week
positive,"gold prices rise for a third day, buoyed by geopolitical worries"
negative,Gold holds near 3-1/2 week low as investors opt for riskier assets
positive,"gold ends higher, logs biggest weekly gain since 2016"
