class_label,document
negative,"http://www.marketwatch.com/story/april-gold-down-20-cents-to-settle-at-111610oz-2016-01-28april gold down 20 cents to settle at $1,116.10/oz"
negative,http://www.marketwatch.com/story/gold-prices-snap-brief-slide-take-new-aim-at-one-year-highs-2017-09-13gold suffers third straight daily decline
positive,http://www.marketwatch.com/story/gold-futures-edge-up-after-two-session-decline-2016-07-26Gold futures edge up after two-session decline
none,https://www.metalsdaily.com/link/277199/dent-research-is-golds-day-in-the-sun-coming-soon.htmdent research : is gold's day in the sun coming soon?
negative,"http://www.marketwatch.com/story/gold-steadies-near-best-mark-in-a-year-after-dovish-fed-view-stalls-dollar-2017-09-06Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal"
positive,"http://www.marketwatch.com/story/dec-gold-climbs-940-or-07-to-settle-at-135690oz-2016-08-16Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz"
negative,"https://economictimes.indiatimes.com/markets/commodities/gold-falls-by-rs-25-on-sluggish-demand-global-cues/articleshow/22998672.cmsgold falls by rs 25 on sluggish demand, global cues"
positive,"http://www.marketwatch.com/story/gold-futures-fall-for-the-session-but-gain-for-the-week-2016-09-23Gold futures fall for the session, but gain for the week"
neutral,"https://www.thehindubusinessline.com/opinion/columns/g-chandrashekhar/gold-struggles-silver-slides-base-metals-falter/article20517742.ece1Gold struggles; silver slides, base metals falter"
positive,"http://www.marketwatch.com/story/april-gold-holds-slight-gain-up-250-or-02-at-132020oz-2018-03-16april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz."
positive,"http://www.marketwatch.com/story/feb-gold-ends-up-960-11feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce"
negative,"https://economictimes.indiatimes.com/markets/commodities/news/gold-trades-in-red-in-early-trade-eyes-near-term-range-at-rs-28300-28600/articleshow/59803537.cmsgold trades in red in early trade; eyes near-term range at rs 28,300-28,600"
positive,"http://www.marketwatch.com/story/gold-loses-13-but-logs-monthly-gain-of-63-2011-10-31gold loses 1.3%, but logs monthly gain of 6.3%"
positive,https://www.moneycontrol.com/news/business/markets/-1668497.htmlgold recovery? here's one way to play it
positive,"https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-rebound-rs-350-on-global-cues-weak-rupee/articleshow/60794262.cmsgold prices rebound rs 350 on global cues, weak rupee"
none,"https://www.moneycontrol.com/news/trends/24x7booking-trends/can-investmentgold-sensexppfs-givesame-returns-999662.htmlcan investment in gold, sensex & ppfs give the same returns?"
positive,https://economictimes.indiatimes.com/news/economy/indicators/gold-rush-spooks-economy-as-trade-deficit-surges-to-17-8-bn/articleshow/20040266.cmsgold rush spooks economy as trade deficit surges to $17.8 bn
negative,"https://www.thehindubusinessline.com/markets/gold/gold-futures-down-at-rs-30244/article24861849.eceGold futures down at Rs 30,244 "
positive,"https://www.metalsdaily.com/link/282776/state-street-gold-likely-to-climb-back-to-$1-350-an-ounce-by-the-end-of-2018.htmstate street : gold likely to climb back to $1,350 an ounce by the end of 2018"
negative,http://www.investing.com/news/commodities-news/gold-prices-slip-lower-as-dollar-remains-supported-446716gold prices slip lower as dollar remains supported
neutral,https://www.moneycontrol.com/news/business/stocks/gold-to-trade28670-29160-range-achiievers-equities-948756.htmlgold to trade in 28670-29160 range: achiievers equities
neutral,"https://www.thehindubusinessline.com/markets/gold/gold-holds-firm-near-1200-on-dovish-fed/article7332525.eceGold holds firm near $1,200 on dovish Fed"
positive,http://www.marketwatch.com/story/gold-prices-finish-at-a-more-than-one-week-high-2017-09-25Gold prices finish at a more than one-week high
none,https://www.metalsdaily.com/link/277185/india-is-gold-a-good-investment-in-a-volatile-market.htmindia : is gold a good investment in a volatile market?
negative,http://www.marketwatch.com/story/gold-futures-down-over-20oz-ahead-of-settlement-2012-12-13gold futures down over $20/oz ahead of settlement
positive,"http://www.marketwatch.com/story/gold-holds-modest-gains-up-310-or-03-at-119150oz-after-data-2017-01-30Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data"
positive,http://www.marketwatch.com/story/april-gold-up-140-to-end-the-day-at-55440oz-in-ny-2006-03-15april gold up $1.40 to end the day at $554.40/oz in ny
negative,"https://www.moneycontrol.com/news/business/stocks/-1946461.htmlGold, Silver may trade lower today: Angel Commodities"
positive,"http://www.marketwatch.com/story/kaz-minerals-lifts-copper-gold-guidance-2017-10-26KAZ Minerals lifts copper, gold guidance"
neutral,http://www.marketwatch.com/story/gold-little-changed-after-data-2017-02-28Gold little-changed after data
positive,https://www.metalsdaily.com/link/274264/germany-why-gold-market-in-germany-is-thriving.htmgermany : why gold market in germany is thriving
